artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,Places
Adolphe Braun,,,,,,,,,1854,1906,
Samuel Morse,,,,,,,,,1820,1824,
Xu Wei,Chinese,,"{Ming Dynasty (1368–1644):10},",,,,,,,,
Blu,,,"{Street art:3},",,,,,,2010,2014,
Domenichino,,,,,,,,,,,
Julio Romero de Torres,,,"{Symbolism:2},{Modern art:2},",,,,,,1899,1930,
Damien Hirst,,,,,,,,,,,
Boris Kustodiev,Russian,"Mir Iskusstva (World of Art),AKhRR (Association of Artists of Revolutionary Russia),Union of Russian Artists","{Realism,Art Nouveau:645},",,,,"Ilya Repin,","Oleksandr Murashko,",1897,1927,
Bill Viola,,,,,,,,,1975,2011,
Piet Mondrian,Dutch,Degenerate art,"{De Stijl (Neoplasticism):99},","Cubism,Vincent van Gogh,Paul Cezanne,Pablo Picasso,Jacob van Ruisdael,","Josef Albers,Ad Reinhardt,Lee Krasner,Ilya Bolotowsky,Abstract Expressionism,Minimalism,Balcomb Greene,",,,"Marc Chagall,Fernand Leger,Jan Toorop,Theo van Doesburg,Roman Selsky,Margit Selska,",1892,1944,
Giovanni Fattori,Italian,Macchiaioli,"{Realism,Impressionism:34},",,,,,,1854,1905,
Huang Gongwang,,,,,,,,,1351,1351,
Wang Jianwei,,,,,,,,,2006,2009,
Georges Braque,French,"École de Paris,Les Fauves","{Cubism:243},","Nicolas Poussin,","David Alfaro Siqueiros,Vilhelm Lundstrom,Mikhail Larionov,Carlos Nadal,",,,"Pablo Picasso,Max Jacob,",1906,1938,
Arnold Genthe,,,,,,,,,1896,1926,
James Ward,British,,"{Romanticism:97},",,,,,,1793,1859,
Armand Guillaumin,French,,"{Impressionism:59},","mountains,Auvergne,winter,countryside,folk-architecture,Auvergne,folk-architecture,mountains,Auvergne,Auvergne,","Musée Daubigny, Auvers-sur-Oise, France,",,,"Artists2/Armand Guillaumin/Saint Sauves D Auvergne 1900.jpg,Artists2/Armand Guillaumin/Winter In Saint Sauves Auvergne 1900.jpg,Artists2/Armand Guillaumin/Cottages In A Landscape.jpg,Artists2/Armand Guillaumin/Landscape Near Saint Julien Des Chazes 1895.jpg,",1867,1917,
Ambrogio Lorenzetti,Italian,Sienese School,"{Proto Renaissance,Gothic Art:18},","Simone Martini,Duccio,Giotto,Byzantine Art,Florentine School,","Dante Gabriel Rossetti,William Holman Hunt,John Everett Millais,Early Renaissance,Pre-Raphaelite Brotherhood,",,,,1319,1345,
Rufino Tamayo,Mexican,,"{Expressionism,Surrealism,Muralism:21},",,"Pedro Coronel,","Helen Frankenthaler,",,,1924,1990,
George Caleb Bingham,American,,"{Luminism:1},{American Realism:1},{Realism:1},{Romanticism:49},",,,,,,1834,1876,
Jan Toorop,Dutch,Tachtigers (the Eightiers),"{Art Nouveau:2},{Amsterdam Impressionism:1},{Symbolism:1},{Modern art:2},{Symbolism,Art Nouveau:38},",,"Egon Schiele,",,,"Piet Mondrian,",1883,1928,
Martin van Meytens,,,,,,,,,1728,1851,
Robert Mapplethorpe,,,,,,,,,1980,1984,
Adam Elsheimer,,,,,,,,,1605,1608,
Zhao Zhiqian,,,,,,,,,,,
Duccio,Italian,Sienese School,"{Proto Renaissance:135},",,"Ambrogio Lorenzetti,Pietro Lorenzetti,",,,,1280,1318,
Arnold Böcklin,,,"{Symbolism:1},{Modern art:1},",,,,,,1881,1896,
Frank Auerbach,"German,British",School of London,"{Expressionism:44},",,,,,,1959,2009,
Robert Adamson,,,,,,,,,,,
James Ensor,Belgian,"Les XX,Jeune Peinture Belge","{Symbolism,Expressionism:46},",,,,,,1876,1939,
George Chinnery,,,,,,,,,1852,1852,
Arthur Boyd,,,,,,,,,,,
Richard Diebenkorn,American,Bay Area Figurative School,"{Abstract Expressionism:92},",,,,,,1950,1985,
Fausto Zonaro,,,"{Realism:3},{Modern art:1},",,,,,,1892,1892,
Alexandre-Gabriel Decamps,,,"{Romanticism:2},",,,,,,,,
Gentile da Fabriano,,,,,,,,,1408,1408,
Eugène Carrière,,,"{Post-Impressionism:1},{Symbolism:2},{Modern art:3},",,,,,,1890,1895,
Ivan Kramskoi,,,,,,,,,1884,1884,
Jacopo Bassano,Italian,,"{Italian Renaissance:2},{Venetian school:3},{Renaissance:2},{Mannerism:1},{Mannerism (Late Renaissance):40},","Titian,Albrecht Durer,Parmigianino,Tintoretto,Raphael,",,,,,1539,1592,
Abbott Handerson Thayer,American,,"{Realism:93},",,,,,"Jean-Leon Gerome,Frank W. Benson,",1866,1921,
David Cox,British,Birmingham School,"{Romanticism:159},",,,,,,1804,1859,
Fernand Léger,,,,,,,,,1913,1955,
Jules Dupré,,,,,,,,,,,
Étienne-Jules Marey,,,,,,,,,1880,1900,
James Robertson,,,,,,,,,1857,1857,
Michelangelo Pistoletto,Italian,,"{Arte Povera:16},",,,,,,1962,2011,
Sano di Pietro,,,,,,,,,1397,1470,
Tony Cragg,,,"{Contemporary art:1},",,,,,,1982,1990,
Thomas Stothard,,,,,,,,,,,
George W. Bush,,,,,,,,,1843,1850,
Hendrick Avercamp,Dutch,Dutch School,"{Dutch Golden Age:1},{Baroque:85},","Pieter Bruegel the Elder,Flemish School,",,,,,1608,1634,
Joaquín Torres-García,,,,,,,,,1943,1943,
Andrei Rublev,Russians,,"{Byzantine Art:58},","Christianity,Annunciation,St.-Matthew,St. Luke,St. Mark,Christianity,Jesus-Christ,Christianity,saints-and-apostles,Jesus-Christ,Nativity,Virgin-Mary,Christianity,saints-and-apostles,St. Mark,Khitrovo-Gospels,Christianity,saints-and-apostles,Khitrovo-Gospels,Christianity,saints-and-apostles,St. Luke,Khitrovo-Gospels,Christianity,saints-and-apostles,St.-Matthew,angels-and-archangels,Khitrovo-Gospels,Christianity,saints-and-apostles,St.-Matthew,Khitrovo-Gospels,Christianity,arts-and-crafts,saints-and-apostles,St. Luke,Khitrovo-Gospels,","Trinity Cathedral (Trinity Lavra of St.Sergius), Sergiyev Posad, Russia,Cathedral of the Annunciation (Moscow Kremlin), Moscow, Russia,Russian State Library, Moscow, Russia,","Paintings for Annunciation Cathedral in the Moscow Kremlin,Khitrovo Gospels,",,"Artists2/Andrei Rublev/Holy Gates 1427.jpg,Artists2/Andrei Rublev/Deposition To Tomb 1427.jpg,Artists2/Andrei Rublev/Birth Of Christ.jpg,Artists2/Andrei Rublev/The Lion Of St Marc.jpg,Artists2/Andrei Rublev/The Eagle Of St John The Evangelist.jpg,Artists2/Andrei Rublev/The Calf Of St Luke.jpg,Artists2/Andrei Rublev/The Angel Of Matthew.jpg,Artists2/Andrei Rublev/St Matthew The Evangelist.jpg,Artists2/Andrei Rublev/St Marc The Evangelist.jpg,Artists2/Andrei Rublev/St Luke The Evangelist.jpg,Artists2/Andrei Rublev/St John The Evangelist.jpg,",1411,1427,
Francis Bedford,,,,,,,,,1855,1862,
Pieter Aertsen,Dutch,,"{Northern Renaissance:17},",,,,,,1550,1575,
